title,email,phone,website,address1,address2,city,state,zip,county,longitude,latitude,facebook,twitter,youtube,instagram,public,featured,featured_text,tags,categories,images
History/Mystery Villisca Self-Guided Tour,villisca@villisca.com,712.826.2282,http://m.villisca.com,"318 S 3rd Ave.
318South 3rd Avenue",,Villisca,,50864,,-94.9772652,40.9294056,,,,,TRUE,FALSE,,Historical,museum,
Celebrate Innovation Learning Exhibition,adpaustian@dmacc.edu,515.633.2439,http://dmacc.edu/ci,"5959 Grand Ave
5959Grand Avenue",,West Des Moines,,50266,,-93.7895971,41.5421001,,,,,TRUE,FALSE,,Historical,museum,
Sioux County Historical Museum,contact@siouxcountyhistoricalsociety.org,712.737.8357,http://siouxcountyhistoricalsociety.org/,"120 3rd St. SW
1203rd Street Southwest",,Orange City,,51041,,-96.0585354,43.0039534,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums",museum,
Wyth House Museum,cfhistory@cfu.net,319.266.5149,http://,"303 Franklin St.
303Franklin Street",,Cedar Falls,,50613,,-92.449889,42.535715,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums",museum,
Old Stone House,deb@debworks.com,641.580.0103,http://historyinfranklincounty.org/?page_id=5,"Raven and C47
County Highway C47",,Geneva,,50633,,-93.1659996,42.6798329,,,,,TRUE,FALSE,,"Family Fun, Historical, Museums",museum,
UNI Gallery of Art,darrell.taylor@uni.edu,319.273.3095,http://uni.edu/artdept/gallery,"1601 W 27th St.
1601West 27th Street",,Cedar Falls,,50614,,-92.4644003,42.5131431,,,,,TRUE,FALSE,,"Arts / Culture, Museums",museum,
Old Cedar County Jail,kwhitl1601@gmail.com,319.329.1785,http://oldcedarcountyjail.com,"118 W 4th St.
118West 4th Street",,Tipton,,52772,,-91.1286763,41.7689564,,,,,TRUE,FALSE,,Historical,museum,
Three Stars Plaza,info@clearlakeiowa.com,641.357.2159,http://,"474 N Shore Dr.
474North Shore Drive",,Clear Lake,,50428,,-93.390949,43.140012,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
"Buddy Holly, Ritchie Valens, & Big Bopper Crash Site Memorial",info@clearlakeiowa.com,641.357.2159,http://,"3140 Gull Ave.
Gull Avenue",,Clear Lake,,50428,,-93.3743366,43.2315207,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Chautauqua Park,cdc@columbusjunctioniowa.org,319.728.7971,http://columbusjunctioniowa.org,"300 Hickory Dr.
300Hickory Street",,Columbus Junction,,52738,,-91.3586623,41.2754043,,,,,TRUE,FALSE,,"Nature, Historical, Outdoor Recreation & Sports",museum,
Blue Bunny Ice Cream Parlor & Museum,dlsusemihl@bluebunny.com,712.546.4522,http://bluebunny.com/parlor,"115 Central Ave. NW
115Central Avenue Northwest",,Le Mars,,51031,,-96.1664471,42.7948687,,,,,TRUE,FALSE,,"Family Fun, Museums",museum,
Veterans Memorial Monument,chamber@carrolliowa.com,712.792.4383,http://,"Forest and 22nd St.
Veterans Memorial Park",,Carroll,,51401,,-94.8672793,42.0655986,,,,,TRUE,FALSE,,Museums,museum,
Merchants National Bank by Louis Sullivan,visit@getintogrinnell.com,641.236.6555,http://,"833 4th Ave.
8334th Avenue",,Grinnell,,50112,,-92.7252196,41.743275,,,,,TRUE,FALSE,,"Arts / Culture, Historical, National Historic Landmark, History",museum,
Woodbury County Courthouse,,712.279.6525,http://woodburyiowa.com,"620 Douglas St.
620Douglas Street",,Sioux City,,51101,,-96.4059888,42.4971118,,,,,TRUE,FALSE,,"Historical, National Historic Landmark, History",museum,
William M. Black Dredge,info@rivermuseum.com,563.557.9545,http://rivermuseum.com,"350 E 3rd St.
350East 3rd Street",,Dubuque,,52001,,-90.661107,42.496493,,,,,TRUE,FALSE,,"Historical, Museums, National Historic Landmark, History",museum,
Van Allen and Company Department Store,chamber@clintonia.com,515.281.5111,http://,"200 5th Ave. S
2005th Avenue South",,Clinton,,52732,,-90.188285,41.8411954,,,,,TRUE,FALSE,,"Historical, National Historic Landmark, History",museum,
Toolesboro Mounds and Museum,lccb@lccb.org,319.523.8381,http://LouisaCountyConservation.org,"6568 Toolesboro Rd.
6568Toolesboro Avenue",,Wapello,,52653,,-91.0635946,41.1429884,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums, National Historic Landmark, History",museum,
The 1857 Old Jail Museum,info@rivermuseum.com,563.557.9545,http://rivermuseum.com/features_historicsites_jail.cfm,"8th St. and Central Ave.
Central Avenue",,Dubuque,,52001,,-90.6650754,42.5014448,,,,,TRUE,FALSE,,"Historical, National Historic Landmark, History, Museums",museum,
James B. Weaver House,info@theweaverhouseinn.com,641.664.1374,http://theweaverhouseinn.com,"102 Weaver Rd.
102Weaver Road",,Bloomfield,,52537,,-92.4133572,40.7552587,,,,,TRUE,FALSE,,"National Historic Landmark, History",museum,
Prairie Queen Museum,slang@cityofsheldon.com,712.324.4651,http://sheldoniowa.com,"319 10th St.
31910th Street",,Sheldon,,51201,,-95.8550664,43.1797216,,,,,TRUE,FALSE,,"Family Fun, Historical, Museums",museum,
Todd House,AuntKath99@aol.com,712.629.3164,http://,"Park St.
Park Street",,Tabor,,51653,,-95.6761188,40.8945862,,,,,TRUE,FALSE,,Museums,museum,
Iowa 80 Trucking Museum,heather.l.debaille@iowa80group.com,563.468.5500,http://iowa80truckingmuseum.com,"505 Sterling Dr.
I-80, Exit 284",,Walcott,,52773,,-90.7722974,41.6185556,,,,,TRUE,FALSE,,Museums,museum,
Iowa Wine Tours,d_dieters@mchsi.com,563.582.4076,http://iowawinetoursinc.com,"427 Shinoak Ct .
427Shinoak Court",,Dubuque,,52003,,-90.715341,42.486364,,,,,TRUE,FALSE,,"Agri-tourism, Historical",museum,
Great River Road National Scenic Byway,troy.siefert@dot.iowa.gov,319.752.8731,http://iowagreatriverroad.com,"400 Front St.
Port of Burlington Welcome Center400North Front Street",,Burlington,,52601,,-91.0999359,40.8103285,,,,,TRUE,FALSE,,Byways & Historic Drives,museum,
Lincoln Highway Heritage Byway,lincolnhighwayheritagebyway@prrcd.org,515.232.0048,http://iowabyways.org/lincoln-highway,"2402 S Duff Ave.
2402South Duff Avenue",,Ames,,50010,,-93.6085177,42.0006943,,,,,TRUE,FALSE,,"Byways & Historic Drives, Historical, Nature, Outdoor Recreation & Sports, State Parks",museum,
Larson-Armstrong Museum,jlbowman51@aol.com,641.843.4086,http://brittiowa.com/armstrong.htm,"266 2nd St. SE
2662nd Street Southeast",,Britt,,50423,,-93.7984022,43.0951114,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Amish Community,rsreid@webtv.net,319.636.2854,http://,"403 N Main St.
403Main Street North",,Hazleton,,50641,,-91.9071569,42.6229084,,,,,TRUE,FALSE,,"Agri-tourism, Arts / Culture, Historical",museum,
Lewis & Clark National Historic Trail,mpoole@siouxcitylcic.com,712.366.4900,http://nps.gov/lecl,"3434 Richard Downing Ave.
3434Richard Downing Ave.",,Council Bluffs,,51501,,-95.8982943,41.2259798,,,,,TRUE,FALSE,,Byways & Historic Drives,museum,
Blood Run National Historic Landmark,Jeff.Morgan@iowa.gov,712.472.2217,http://,"Along Big Sioux River and Blood Run Creek
",,Larchwood,,51241,,-96.429036,43.4378455,,,,,TRUE,FALSE,,"Arts / Culture, Historical, National Historic Landmark, Nature, History",museum,
State Historical Library,Jeff.Morgan@iowa.gov,319.335.3916,http://www.iowahistory.org,"402 Iowa Ave.
402Iowa Avenue",,Iowa City,,52240,,-91.5298772,41.6613799,,,,,TRUE,FALSE,,"Historical, History",museum,
Wildwood Nature Center,fayetteccb@hawkeyetel.com,563.422.5146,http://fayettecountyiowa.org/CONSERVATION.html,"18673 Lane Rd.
18673Lane Road",,Fayette,,52175,,-91.8331807,42.9025294,,,,,TRUE,FALSE,,"Museums, Nature, Outdoor Recreation & Sports",museum,
Madrid Historical Society Museum,madridmuseum@windstream.net,515.795.3249,http://madridiamuseum.com,"109 W 2nd St.
109West 2nd Street",,Madrid,,50156,,-93.8210346,41.8758869,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Binford House,joann@neven.us,641.753.5450,http://,"110 N 2nd Ave
110North 2nd Avenue",,Marshalltown,,50158,,-92.9096749,42.050511,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Fisher Art Gallery and Ceramics,ciaa@iowatelecom.net,641.753.9013,http://centraliowaartassociation.org,"709 S Center St Ste 1
709South Center Street",,Marshalltown,,50158,,-92.9142925,42.0387534,,,,,TRUE,FALSE,,"Arts / Culture, Museums",museum,
Glick-Sower House,marshallhistory@marshallnet.com,641.752.6664,http://marshallhistory.org,"210 E State St
210East State Street",,Marshalltown,,50158,,-92.9095666,42.0503888,,,,,TRUE,FALSE,,Historical,museum,
Marshall County Historical Museum,marshallhistory@marshallnet.com,641.752.6664,http://marshallhistory.org,"202 E Church St.
202East Church Street",,Marshalltown,,50158,,-92.9094088,42.0479235,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Taylor #4 Country School,marshallhistory@marshallnet.com,641.752.6664,http://marshallhistory.org,"60 N 2nd Ave.
60North 2nd Avenue",,Marshalltown,,50158,,-92.9096792,42.0499335,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Community Historical Society,mwitmer@iowatelecom.net,515.387.8742,,101 Main St.101Main Street,,Maxwell,,50161,,-93.3996546,41.8919322,,,,,TRUE,FALSE,,,museum,
Jasper County Historical Museum,jascomus@iowatelecom.net,641.792.9118,http://jaspercountymuseum.net,"1700 S 15th Ave. W
1700S 15th Avenue West",,Newton,,50208,,-93.075837,41.685648,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Neal Smith National Wildlife Refuge and Prairie Learning & Visitor Center,nealsmith@fws.gov,515.994.3400,http://tallgrass.org,"9981 Pacific St.
9981Pacific Street",,Prairie City,,50228,,-93.270143,41.557532,,,,,TRUE,FALSE,,"Museums, Nature",museum,
Watson's Grocery Store Museum,scda@partnercom.net,641.483.3002,http://statecenteriowa.org,"106 W Main St.
106West Main Street",,State Center,,50247,,-93.16369,42.0166189,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums",museum,
Story Theatre/Grand Opera House,sctheater@storycity.com,515.733.4551,http://storycitytheater.com,"512 Broad St.
512Broad Street",,Story City,,50248,,-93.596922,42.18672,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Lincoln Highway Bridge,tama.toledochamber@yahoo.com,641.484.6661,http://tamatoledo.com,"5th St. just off Bus. Hwy. 30
",,Tama,,52339,,-92.576753,41.9627392,,,,,TRUE,FALSE,,"Byways & Historic Drives, Historical",museum,
Tama County Historical Museum and Genealogy Library,tracers@pcpartner.net,641.484.6767,http://,"200 N Broadway
200North Broadway Street",,Toledo,,52342,,-92.5782663,41.9966997,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Traer Historical Museum,traermuseum@hotmail.com,319.478.8158,http://,"514 2nd St.
5142nd Street",,Traer,,50675,,-92.4673737,42.1933609,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Traer Salt & Pepper Shaker Gallery,saltandpepper@traer.net,319.231.7654,http://,"411 2nd St.
4112nd Street",,Traer,,50675,,-92.4699348,42.1933077,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Bob Feller Museum,info@bobfellermuseum.org,515.996.2806,http://www.bobfellermuseum.org,"310 Mill St.
310Mill Street",,Van Meter,,50261,,-93.9512485,41.5314642,,,,,TRUE,FALSE,,Museums,museum,
Round Barn Site,wampler@grm.net,641.873.4259,http://,"2328 120th St.
",,Allerton,,50008,,-93.365383,40.7063539,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Davis County Historical Museum Complex,dctour26@netins.net,641.664.1104,http://visitdaviscounty.com,"205 S Dodge St
205South Dodge Street",,Bloomfield,,52537,,-92.4122952,40.7505775,,,,,TRUE,FALSE,,Historical,museum,
Antique Tractor Museum,elee@carlisleiachamber.org,515.321.9275,http://,"55 Main St.
55Main Street",,Carlisle,,50047,,-93.4859804,41.4996051,,,,,TRUE,FALSE,,"Agri-tourism, Historical",museum,
Historic Randleman House,marysue123@hotmail.com,515-989-0210,http://cahs.webs.com,"245 Pennsylvania St.
245Pennsylvania Street",,Carlisle,,50047,,-93.488676,41.504814,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Historical and Coal Mining Museum,appanoosehistory@yahoo.com,641.856.8040,http://appanoosehistory.com,"100 W Maple
100West Maple Street",,Centerville,,52544,,-92.8742142,40.7325021,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Lucas County Historical Museum,lchs@iowatelecom.net,641.774.4464,http://lucascountyhistoricalsociety.blogspot.com,"123 N 17th St.
123North 17th Street",,Chariton,,50049,,-93.3192468,41.0151023,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Prairie Trails Museum of Wayne County,ptmuseum@grm.net,641.872.2211,http://prairietrailsmuseum.org,"515 E Jefferson St.
515East Jefferson Street",,Corydon,,50060,,-93.3120685,40.7571533,,,,,TRUE,FALSE,,"Historical, Museums",museum,
National Balloon Museum and U.S. Hall of Fame,museum@nationalballoonmuseum.com,515.961.3714,http://nationalballoonmuseum.com,"1601 N Jefferson
1601North Jefferson Way",,Indianola,,50125,,-93.559413,41.376346,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Warren County Historical Museum and Library,contact@warrencountyhistory.org,515.961.8085,http://warrencountyhistory.org,"1400 W 2nd
1400West 2nd Avenue",,Indianola,,50125,,-93.577752,41.3572739,,,,,TRUE,FALSE,,"Historical, Museums",museum,
National Sprint Car Hall of Fame & Museum,tschmeh@sprintcarhof.com,641.842.6176,http://sprintcarhof.com,1 Sprint Capital Pl.1,,"Knoxville, Iowa",,50138,,-93.097702,41.8780025,,,,,TRUE,FALSE,,,museum,
"Liberty Hall Historic Center, Home of Joseph Smith III",libhall@grm.net,641.784.6133,http://,"1138 W Main St.
1138West Main Street",,Lamoni,,50140,,-93.9485648,40.6237116,,,,,TRUE,FALSE,,"Historical, Museums",museum,
John L. Lewis Mining & Labor Museum,jllmuseum@iowatelecom.net,641.766.6831,http://coalmininglabormuseum.com,"102 Division
Division Street",,Lucas,,50151,,-93.4609362,41.0311497,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Melcher-Dallas Coal Mining and Heritage Museum,gramspop_1@iowatelecom.net,641.947.5651,,101 NE Center St.101East Center Street,,Melcher-Dallas,,50163,,-93.2407818,41.2236811,,,,,TRUE,FALSE,,,museum,
Clarke County Museum,keefe@iowatelecom.net,641.342.3027,http://,"1030 S Main
1030South Main Street",,Osceola,,50213,,-93.7647806,41.0233593,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Nelson Pioneer Farm,curator@nelsonpioneer.org,641.672.2989,http://nelsonpioneer.org,"2211 Nelson Ln.
",,Oskaloosa,,52577,,-92.6493595,41.2916728,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums, Family Fun, Nature",museum,
Airpower Museum,antiqueairfield@sirisonline.com,641.938.2773,http://antiqueairfield.com,"22001 Bluegrass Rd.
22001Bluegrass Road",,Ottumwa,,52501,,-92.577258,40.9787777,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Wapello County Historical Museum,wchs@pcsia.net,641.682.8676,http://wapellocountymuseum.com,"210 W Main St.
210West Main Street",,Ottumwa,,52501,,-92.4140908,41.0189189,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Pella Historical Village and Vermeer Windmill,pellatuliptime@iowatelecom.net,641.620.9463,http://pellatuliptime.com,"714 E 1st St.
714East 1st Street",,Pella,,50219,,-92.9147033,41.4060988,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Pella Opera House,boxoffice@pellaoperahouse.org,641.628.8628,http://pellaoperahouse.org,"611 Franklin St.
611Franklin Street",,Pella,,50219,,-92.9148318,41.4066748,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Scholte House Museum,scholtehouse@windstream.net,641.628.3684,http://scholtehouse.com,"728 Washington St.
728Washington Street",,Pella,,50219,,-92.917653,41.4080483,,,,,TRUE,FALSE,,"Historical, Museums, Arts / Culture",museum,
The Klokkenspel,pellacvb@pella.org,641.628.2626,http://www.pella.org,"625 Franklin
625Franklin Street",,Pella,,50219,,-92.9149716,41.4066758,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Vermeer Museum & Global Pavilion,pavilion@vermeer.com,641.621.7017,http://,"2110 Vermeer Rd. E
2110Vermeer Road East",,Pella,,50219,,-92.8951298,41.4073911,,,,,TRUE,FALSE,,"Agri-tourism, Museums",museum,
Dumonts' Museum of Dreamworld Collectibles,oliver@lisco.com,641.622.2592,http://dumontmuseum.com,"20595 255th St.
20595255th Street",,Sigourney,,52591,,-92.2093707,41.2866671,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums, Family Fun",museum,
St. Charles Welcome Center,stccity@netins.net,641.396.2506,http://,"202 E Main St.
202East Main Street",,St. Charles,,50240,,-93.8045148,41.2884124,,,,,TRUE,FALSE,,Museums,museum,
Birthplace of John Wayne,director@johnwaynebirthplace.org,515.462.1044,http://johnwaynebirthplace.org,"216 S 2nd St.
216South 2nd Street",,Winterset,,50273,,-94.0121852,41.3333293,,,,,TRUE,FALSE,,"Famous Iowans, Historical, Museums",museum,
Bridges of Madison County,tourism@madisoncounty.com,515.462.1185,http://madisoncounty.com,"73 Jefferson St.
73West Jefferson Street",,Winterset,,50273,,-94.0143146,41.3354449,,,,,TRUE,FALSE,,Historical,museum,
Madison County Historical Complex,mchistory@i-rule.net,515.462.2134,http://historyonthehill.com,"815 S 2nd Ave.
815South 2nd Avenue",,Winterset,,50273,,-94.0157299,41.3288005,,,,,TRUE,FALSE,,"Historical, Museums, Family Fun",museum,
Laura Ingalls Wilder Park and Museum,museum@lauraingallswilder.us,563.735.5916,http://lauraingallswilder.us,"3603 236th Ave.
3603236th Avenue",,Burr Oak,,52101,,-91.8658301,43.4576699,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Ice House Museum,cfhistory@cfu.net,319.266.5149,http://cfhistory.org,"1st and Clay Sts.
West 1st Street",,Cedar Falls,,50613,,-92.4481476,42.5378365,,,,,TRUE,FALSE,,"Historical, Museums, Agri-tourism",museum,
James & Meryl Hearst Center for the Arts and Hearst Sculpture Garden,mary.huber@cedarfalls.com,319.273.8641,http://hearstartscenter.com,"304 W Seerley Blvd.
304West Seerley Boulevard",,Cedar Falls,,50613,,-92.448444,42.515576,,,,,TRUE,FALSE,,"Arts / Culture, Museums",museum,
Little Red Schoolhouse,cfhistory@cfu.net,319.266.5149,http://cfhistory.org,"1st & Clay Sts.
West 1st Street",,Cedar Falls,,50613,,-92.4481476,42.5378365,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Oster Regent Theatre,cfct@cfu.net,319.277.5283,http://osterregent.org,"103 Main St.
103Main Street",,Cedar Falls,,50613,,-92.445897,42.537644,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Victorian Home & Carriage House Museum,cfhistory@cfu.net,319.266.5149,http://cfhistory.org,"308 W 3rd St.
308West 3rd Street",,Cedar Falls,,50613,,-92.4486372,42.535932,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Viking Pump Museum,info.viking@idexcorp.com,319.266.1741,http://,"406 State St.
406State Street",,Cedar Falls,,50613,,-92.443409,42.534578,,,,,TRUE,FALSE,,Museums,museum,
Montauk,montauk@acegroup.cc,563.423.7173,http://www.iowahistory.org/historic-sites,"26223 Harding Rd.
26223Harding Road",,Clermont,,52135,,-91.6439453,43.0113847,,,,,TRUE,FALSE,,"Historical, Museums, History",museum,
Howard County Historical Preservation Center,info@mhcfair.com,563.547.3400,http://mhcfair.com,"Howard County Fairgrounds
314 W 7th St.2207th Street West",,Cresco,,52136,,-92.1273794,43.3742351,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Porter House Museum,porterhousemuseum@gmail.com,563.382.8465,http://porterhousemuseum.org,"401 W Broadway St.
401West Broadway Street",,Decorah,,52101,,-91.7899998,43.302067,,,,,TRUE,FALSE,,"Historical, Museums, Arts / Culture, Nature",museum,
Vesterheim Norwegian-American Museum,info@vesterheim.org,563.382.9681,http://vesterheim.org,"502 W Water St.
502West Water Street",,Decorah,,52101,,-91.7910422,43.3042125,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Gilbertson Nature Center and Petting Zoo,gncfccb@alpinecom.net,563.426.5740,http://elginiowa.org/GILBERTSON.html,"22580 A Ave.
22580A Avenue",,Elgin,,52141,,-91.6083048,42.9606378,,,,,TRUE,FALSE,,"Agri-tourism, Nature, Family Fun, Museums",museum,
Mavis and Conner Dummermuth Historical Building and Hart Dummermuth Historical House,gncfccb@alpinecom.net,563.426.5740,http://elginiowa.org/GILBERTSON.html,"22580 A Ave.
22580A Avenue",,Elgin,,52141,,-91.6083048,42.9606378,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums",museum,
Carter House Museum,bucholz@alpinecom.net,563.245.1573,http://carterhousemuseum.com,"101 High St. SE
101South High Street",,Elkader,,52043,,-91.4027872,42.8554324,,,,,TRUE,FALSE,,"Agri-tourism, Historical, Museums",museum,
Motor Mill Historic Site,cccb@claytoncountyia.gov,563.245.1516,http://motormill.org,"Galaxy Rd.
Galaxy Road",,Elkader,,52043,,-91.3521071,42.8209081,,,,,TRUE,FALSE,,"Agri-tourism, Historical, Nature",museum,
"Osborne Visitor, Nature & Welcome Center",cccb@claytoncountyia.gov,563.245.1516,http://claytoncountyconservation.org,"29862 Osborne Rd.
Osborne Road",,Elkader,,52043,,-91.4454616,42.7919203,,,,,TRUE,FALSE,,"Family Fun, Museums, Nature, Welcome Centers",museum,
Fort Atkinson State Preserve,sandra.sampson@dnr.iowa.gov,563.425.4161,http://fortatkinsoniowa.com/rendezvous.html,"Main St.
Main Street",,Fort Atkinson,,52144,,-91.9328117,43.1434135,,,,,TRUE,FALSE,,"Historical, Nature, Outdoor Recreation & Sports, State Parks",museum,
Hawkeye Buffalo Ranch,mcf@rconnect.com,563.237.5318,http://hawkeyebuffalo.com,"3034 Pembroke Ave.
3034Pembroke Avenue",,Fredericksburg,,50630,,-92.2388571,42.916161,,,,,TRUE,FALSE,,"Agri-tourism, Family Fun, Historical, Nature, Outdoor Recreation & Sports",museum,
Garnavillo Historical Museum,garnavillohistoricalsociety@gmail.com,563.964.2191,http://garnavilloia.com,"205 S Washington St.
205South Washington Street",,Garnavillo,,52049,,-91.236044,42.866413,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Lockmaster's House Heritage Museum,dolliewille@yahoo.com,563.880.9336,http://,"Lock and Dam Lane
Lock and Dam Lane",,Guttenberg,,52052,,-91.0955136,42.7843958,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Effigy Mounds National Monument,efmo_superintendent@nps.gov,563.873.3491,http://nps.gov/efmo,"151 Hwy. 76
151Highway 76",,Harpers Ferry,,52146,,-91.1834166,43.0869893,,,,,TRUE,FALSE,,"Museums, Nature",museum,
Delaware County Historical Museum,dchs59@gmail.com,563.926.2639,http://delcoiowahistory.org,"101 College St. NE
101Northeast College Street",,Hopkinton,,52237,,-91.2430153,42.343932,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Delaware Crossing Scenic Byway,mallory@northeastiowarcd.org,563.927.3410,http://iowabyways.org/delaware-crossing,"2379 Jefferson Rd.
Bailey's Ford Park2379Jefferson Road",,Manchester,,52057,,-91.4114644,42.4459965,,,,,TRUE,FALSE,,"Historical, Nature, Byways & Historic Drives",museum,
Heartland Acres Agribition Center,craig@heartlandacresusa.com,319.332.0123,http://heartlandacresusa.com,"2600 Swan Lake Blvd.
2600Swan Lake Boulevard",,Independence,,50644,,-91.9210725,42.4515757,,,,,TRUE,FALSE,,"Agri-tourism, Museums, Family Fun, Historical",museum,
Illinois Central Railroad Depot,buchcotour@indytel.com,319.334.3439,http://,"1111 5th Ave. NE
11115th Avenue Northeast",,Independence,,50644,,-91.8894336,42.4783776,,,,,TRUE,FALSE,,Historical,museum,
Wapsipinicon Mill,leannekay@indytel.com,319.334.4616,http://buchanancountyhistory.com,"100 1st St. W
1001st Street West",,Independence,,50644,,-91.8949736,42.4687192,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums",museum,
La Porte City FFA Historical and Ag Museum,ffamuseum@netins.net,319.342.3619,http://lpcmuseum.com,"408 Main St.
408Main Street",,La Porte City,,50651,,-92.190571,42.314412,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums",museum,
Museum of River History,klgalema@q.com,563.538.4641,http://visitlansingiowa.com,"61 S Front St.
61North Front Street",,Lansing,,52151,,-91.2150082,43.3625693,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Lidtke Mill Historical Site,conservation@co.howard.ia.us,563.566.2893,http://,"Mill St.
Mill Road",,Lime Springs,,52155,,-92.2904601,43.4656751,,,,,TRUE,FALSE,,"Historical, Museums",museum,
"Marquette Depot Museum, Gift Shop and Information Center",asstccdg@alpinecom.net,563.873.1200,http://,"216 Edgar St.
216Edgar Street",,Marquette,,52157,,-91.1818384,43.044481,,,,,TRUE,FALSE,,"Historical, Museums",museum,
River Bluffs Scenic Byway,troy.siefert@dot.iowa.gov,563.245.1516,http://iowabyways.org/river-bluffs,"29862 Osborne Rd.
Osborne Visitor, Welcome and Nature Center",,Elkader,,52043,,-91.4054159,42.8538739,,,,,TRUE,FALSE,,Byways & Historic Drives,museum,
Froelich Historic Site,froelichtractor1892@yahoo.com,563.536.2841,http://froelichtractor.com,"24397 Froelich Rd
24397Froelich Road",,McGregor,,52157,,-91.3215974,43.0066989,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums",museum,
Little Brown Church in the Vale,info@littlebrownchurch.org,641.435.2027,http://littlebrownchurch.org,"2730 Cheyenne Ave.
2730Cheyenne Avenue",,Nashua,,50658,,-92.5078473,42.9563079,,,,,TRUE,FALSE,,Historical,museum,
Old Bradford Pioneer Village,chickasawhist@gmail.com,641.435.2567,http://chickasawtrails.com,"2 miles E of Nashua on Hwy. 346
",,Nashua,,50658,,-92.5386382,42.9522221,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Carnegie Cultural Center,carnegiecc@yahoo.com,641.394.2354,http://carnegieculturalcenter.org,"7 N Water Ave
7North Water Avenue",,New Hampton,,50659,,-92.312872,43.05939,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Iowa Baseball Museum of Norway,frese1@southslope.net,319.227.2044,http://norwaybaseballmuseum.com,"112 E Railroad St.
112East Railroad Street",,Norway,,52318,,-91.920832,41.902844,,,,,TRUE,FALSE,,"Family Fun, Historical, Museums",museum,
Hub City Heritage Railway Museum,williamandshirley@mchsi.com,319.283.1939,http://cgwo.org,"26 2nd Ave. SW
262nd Avenue Southwest",,Oelwein,,50662,,-91.9166817,42.6780734,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Oelwein Area Historical Society Museum,Oelwein_Area_Historical_Society@hotmail.com,319.283.1436,http://,"900 2nd Ave. SE
9002nd Avenue Southeast",,Oelwein,,50662,,-91.9091761,42.6654092,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Cedar Rock State Park,cedar_rock@dnr.iowa.gov,319.934.3572,http://iowadnr.gov,"2611 Quasqueton Diagonal Blvd.
2611Quasqueton Diagonal Boulevard",,Independence,,50644,,-91.7626973,42.4077548,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums, Nature, Outdoor Recreation & Sports, State Parks",museum,
Bily Clocks Museum and Antonin Dvorak Exhibit,bilyclocks@mchsi.com,563.562.3569,http://bilyclocks.org,"323 S Main St
323South Main Street",,Spillville,,52132,,-91.951069,43.2016996,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums",museum,
